"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Total Number of Units","Total Low-Income Units","Compliance Monitoring Status"
"CAA19960135","VILLA METROPOLITANO","1328 S HOPE ST","LOS ANGELES","CA","90015","Los Angeles County","53","52","Not Indicated"
"CAA19960156","RIO VISTA VILLAGE","1310 RIO VISTA AVE","LOS ANGELES","CA","90023","Los Angeles County","75","74","Not Indicated"
"CAA19960157","SOPHIA RIDGE APTS","9601 RESEDA BLVD","NORTHRIDGE","CA","91324","Los Angeles County","112","45","Not Indicated"
"CAA19960158","WOODBRIDGE PARK APTS","11220 MOORPARK ST","NORTH HOLLYWOOD","CA","91602","Los Angeles County","77","31","Not Indicated"
"CAA19960160","4334-4346 MATILIJA APTS","4334 MATILIJA AVE","SHERMAN OAKS","CA","91423","Los Angeles County","54","11","Not Indicated"
"CAA19960161","WILLIS APTS","4553 WILLIS AVE","SHERMAN OAKS","CA","91403","Los Angeles County","21","10","Not Indicated"
"CAA19960162","WILLIS APTS","4573 WILLIS AVE","SHERMAN OAKS","CA","91403","Los Angeles County","23","5","Not Indicated"
"CAA19960163","NATICK APTS","4701 NATICK AVE","SHERMAN OAKS","CA","91403","Los Angeles County","121","25","Not Indicated"
"CAA19960164","ADAMS-CONGRESS APTS","1801 W ADAMS BLVD","LOS ANGELES","CA","90018","Los Angeles County","46","46","Not Indicated"
"CAA19960168","ATHENS GLEN APTS","11515 S BUDLONG AVE","LOS ANGELES","CA","90044","Los Angeles County","51","51","Not Indicated"
"CAA19960170","BRYNVIEW TERRACE","6603 BRYNHURST AVE","LOS ANGELES","CA","90043","Los Angeles County","8","8","Not Indicated"
"CAA19960172","CASA CARONDELET","130 S CARONDELET ST","LOS ANGELES","CA","90057","Los Angeles County","18","18","Not Indicated"
"CAA19960180","CRESCENT VILLAGE","731 BEACON AVE","LOS ANGELES","CA","90017","Los Angeles County","112","111","Not Indicated"
"CAA19960186","EVERGREEN VILLAGE","420 N EVERGREEN AVE","LOS ANGELES","CA","90033","Los Angeles County","52","52","Not Indicated"
"CAA19960189","HARMONY COURT APTS","4502 186TH ST","REDONDO BEACH","CA","90278","Los Angeles County","187","187","Not Indicated"
"CAA19960192","HUNTINGTON HACIENDA APTS","4648 HUNTINGTON DR S","LOS ANGELES","CA","90032","Los Angeles County","117","116","Not Indicated"
"CAA19960197","LOS ANGELES CITY LIGHTS","1315 W SEVENTH ST","LOS ANGELES","CA","90017","Los Angeles County","32","32","Not Indicated"
"CAA19960198","LUISA APTS","2209 MICHIGAN AVE","LOS ANGELES","CA","90033","Los Angeles County","56","55","Not Indicated"
"CAA19960211","P & P HOME FOR THE ELDERLY","1030 W 85TH ST","LOS ANGELES","CA","90044","Los Angeles County","106","106","Not Indicated"
"CAA19960214","PLAZA VERMONT","939 W GAGE AVE","LOS ANGELES","CA","90044","Los Angeles County","79","79","Not Indicated"
"CAA19960221","SOMERVILE APTS PHASES I & II","1068 E 42ND PL","LOS ANGELES","CA","90011","Los Angeles County","41","41","Not Indicated"
"CAA19960224","TABOR COURTS","345 FOURTH AVE","VENICE","CA","90291","Los Angeles County","25","24","Not Indicated"
"CAA19960227","THE BOYD HOTEL","224 BOYD ST","LOS ANGELES","CA","90013","Los Angeles County","61","61","Not Indicated"
"CAA19960231","NEW YORKER APTS","13951 MOORPARK ST","SHERMAN OAKS","CA","91423","Los Angeles County","34","8","Not Indicated"
"CAA19960237","UMOJA APTS","101 W 74TH ST","LOS ANGELES","CA","90003","Los Angeles County","30","30","Not Indicated"
"CAA19960241","VISTA DEL MONTE APTS","4621 VISTA DEL MONTE AVE","SHERMAN OAKS","CA","91403","Los Angeles County","24","6","Not Indicated"
"CAA19960244","WHITE OAK-LASSEN APTS","9907 WHITE OAK AVE","NORTHRIDGE","CA","91325","Los Angeles County","80","80","Not Indicated"
"CAA19960245","WYANDOTTE APTS","14630 WYANDOTTE ST","VAN NUYS","CA","91405","Los Angeles County","73","72","Not Indicated"
"CAA19970005","14955 DICKENS CT EAST","14955 DICKENS ST","SHERMAN OAKS","CA","91403","Los Angeles County","18","4","Not Indicated"
"CAA19970015","ROSCOE APTS","20234 ROSCOE BLVD","WINNETKA","CA","91306","Los Angeles County","25","24","Not Indicated"
"CAA19970020","235 BERENDO APTS","235 S BERENDO ST","LOS ANGELES","CA","90004","Los Angeles County","24","23","Not Indicated"
"CAA19970030","ASTORIA PLACE TOWNHOMES","13230 BROMONT AVE","SYLMAR","CA","91342","Los Angeles County","18","18","Not Indicated"
"CAA19970035","BALBOA PLACE APTS","16915 NAPA ST","NORTHRIDGE","CA","91343","Los Angeles County","151","31","Not Indicated"
"CAA19970040","BLESSED ROCK OF EL MONTE","4111 TYLER AVE","EL MONTE","CA","91731","Los Angeles County","137","137","Not Indicated"
"CAA19970065","BUDLONG AVENUE APTS","2727 S BUDLONG AVE","LOS ANGELES","CA","90007","Los Angeles County","12","11","Not Indicated"
"CAA19970080","CASA SEVILLE/MEMORY PARK","8750 MEMORY PARK AVE","NORTH HILLS","CA","91343","Los Angeles County","53","52","Not Indicated"
"CAA19970105","DECRO NORDHOFF APTS","15543 NORDHOFF ST","NORTH HILLS","CA","91343","Los Angeles County","38","38","Not Indicated"
"CAA19970110","ELIZABETH COURT","5225 ELIZABETH ST","CUDAHY","CA","90201","Los Angeles County","26","25","Not Indicated"
"CAA19970150","GOWER STREET APTS","1140 N GOWER ST","LOS ANGELES","CA","90038","Los Angeles County","55","55","Not Indicated"
"CAA19970155","HALIFAX APTS","6376 YUCCA ST","LOS ANGELES","CA","90028","Los Angeles County","46","46","Not Indicated"
"CAA19970180","HARMONY GARDENS","5239 HARMONY AVE","NORTH HOLLYWOOD","CA","91601","Los Angeles County","14","14","Not Indicated"
"CAA19970200","HERITAGE PARK SENIOR APTS","915 HIGHLAND AVE","DUARTE","CA","91010","Los Angeles County","120","118","Not Indicated"
"CAA19970215","HYDE PARK PLACE APTS","6323 TENTH AVE","LOS ANGELES","CA","90043","Los Angeles County","29","28","Not Indicated"
"CAA19970230","KITTRIDGE PARK VILLA","18303 KITTRIDGE ST","RESEDA","CA","91335","Los Angeles County","39","39","Not Indicated"
"CAA19970235","LA TOWN HOMES","2557 S BRONSON AVE","LOS ANGELES","CA","90018","Los Angeles County","7","7","Not Indicated"
"CAA19970290","NOBLE PINES APTS","21611 SATICOY ST","CANOGA PARK","CA","91304","Los Angeles County","68","67","Not Indicated"
"CAA19970295","NORMANDIE SENIOR HOUSING","6301 S NORMANDIE AVE","LOS ANGELES","CA","90044","Los Angeles County","75","75","Not Indicated"
"CAA19970300","NORMONT TERRACE PHASE I","981 HARBOR VILLAGE DR","HARBOR CITY","CA","90710","Los Angeles County","200","200","No Longer Monitored"
"CAA19970325","OXNARD VILLA","14045 OXNARD ST","VAN NUYS","CA","91401","Los Angeles County","40","40","Not Indicated"
"CAA19970335","PARKSIDE APTS","400 W NINTH ST","LOS ANGELES","CA","90015","Los Angeles County","79","78","Not Indicated"
"CAA19970340","PARTHENIA COURT","14825 PARTHENIA ST","PANORAMA CITY","CA","91402","Los Angeles County","25","25","Not Indicated"
