"HUD ID Number","Project Name","Project Address","Project City","Project State","Project ZIP Code","County","Project's Latitude","Project's Longitude","place2020","Total Number of Units","Total Low-Income Units","Placed-In-Service Year","Credit Allocation Year","For-profit/non-profit Sponsor","Credit Type","Home Investment Partnership Funds","Community Development Block Grant (CDBG) Funds","FHA-insured Loan","Part of a HOPE VI Development","Dollar Amount of HOME Funds","Dollar Amount of CDBG Funds","Dollar Amount of HOPEVI Funds","Annual LIHTC Allocation Amount"
"CAA19920290","LAS AMERICAS HOTEL","1205 E SIXTH ST","LOS ANGELES","CA","90021","Los Angeles County","34.038306","-118.238048","44000","60","60","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","329786"
"CAA19920305","THE SANBORN HOTEL","526 S MAIN ST","LOS ANGELES","CA","90013","Los Angeles County","34.045956","-118.248998","44000","46","46","1992","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","205077"
"CAA19920325","VILLA LOS ROBLES","473 N LOS ROBLES AVE","PASADENA","CA","91101","Los Angeles County","34.154092","-118.141676","56000","8","8","1992","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","73349"
"CAA19929367","4TH STREET APTS","1562 W FOURTH ST","LOS ANGELES","CA","90017","Los Angeles County","34.058707","-118.267302","44000","44","44","1992","1990","Status Not Available","Information Not Available","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","",""
"CAA19930015","ARLINGTON RODEO APTS","3804 ARLINGTON AVE","LOS ANGELES","CA","90008","Los Angeles County","34.017969","-118.318036","44000","29","29","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","509217"
"CAA19930030","CASA GLORIA","1450 W TEMPLE ST","LOS ANGELES","CA","90026","Los Angeles County","34.067417","-118.258153","44000","46","46","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","930551"
"CAA19930035","CASA LOMA APTS","379 LOMA DR","LOS ANGELES","CA","90017","Los Angeles County","34.058776","-118.26643","44000","110","110","1993","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","1516495"
"CAA19930090","ELEVENTH AVENUE APTS","6726 11TH AVE","LOS ANGELES","CA","90043","Los Angeles County","33.97782","-118.329186","44000","22","22","1993","1991","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","255294"
"CAA19930095","EUCALYPTUS GARDEN APTS","PO BOX 2229","AVALON","CA","90704","Los Angeles County","33.4725","-118.5243","3274","80","38","1993","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","272767"
"CAA19930105","GREENWOOD-17TH STREET","1828 17TH ST","SANTA MONICA","CA","90404","Los Angeles County","34.0203","-118.47601","70000","7","5","1993","1990","For-Profit Sponsor","70% Present Value Credit","Status Not Available","Status Not Available","Status Not Available","Status Not Available","","","","61963"
